green_red_vector_pow_2,green_red_vector_pow_4,green_red_vector_pow_6,green_red_vector_pow_8
296.50140625000006,87913.08390822756,26066353.006563723,7728710322.25506
294.98625,87016.8876890625,25668785.386067715,7571938743.090917
286.89468750000003,82308.56171572268,23613889.092006728,6774699331.71093
293.7265625,86275.29351806642,25341345.39374018,7443426271.628513
301.0375,90623.57640625,27281094.882396486,8212632600.659431
300.1565625,90093.96201181642,27042293.939472403,8116921990.98662
301.89906250000007,91143.04393837895,27515999.51839292,8307054458.353276
304.0703125,92458.75494384767,28113962.50913668,8548621365.766476
302.11234375000004,91271.8682461182,27574358.03427598,8330553933.13676
303.641875,92198.38825351563,27995291.481275465,8500542796.54601
0.0,0.0,0.0,0.0
303.85171875000003,92325.86698732914,28053373.369183846,8524065714.961991
302.54296875,91532.24794006348,27692438.02814788,8378152412.961256
305.1620312499999,93123.86531662592,28417867.89787298,8672054291.509083
308.4465625,95139.28191806644,29345384.466346,9051482963.885323
0.0,0.0,0.0,0.0
306.26343750000007,93797.29314931645,28726681.428104863,8797932202.138807
305.37874999999997,93256.18095156249,28478455.968761962,8696715285.670567
306.6884375,94057.79769619142,28846439.01013605,8846869307.457672
306.47015625,93923.95667189942,28784889.676855247,8821709636.90484
306.4698437500001,93923.76512814946,28784801.623235673,8821673655.847786
309.99921875000007,96099.51562561038,29790774.76619264,9235116903.476934
312.18734375,97460.93759768069,30426071.228004448,9498634357.41901
318.85078125,101665.82070373536,32416226.357808445,10335939099.364065
325.85031250000003,106178.42615634766,34598273.34380406,11273858181.038973
339.2982812499999,115123.32365920403,39061145.849355385,13253379650.341848
344.1140625,118414.4880102539,40748090.52806601,14021990970.730564
344.80078125,118887.57875061034,40992530.03413134,14134256381.182573
340.19703125,115734.02007131348,39372370.04288876,13394363401.867193
334.66359374999996,111999.72098166503,37482229.12272129,12543937499.970816
324.32078125,105183.96915061033,34113347.049901836,11063667366.276545
319.29453125000003,101948.99768615725,32551757.427608915,10393598129.212095
321.7603124999999,103529.6987000976,33311748.206774235,10718398512.93299
326.94921875000006,106895.7916412354,34949495.5647647,11426710270.60641
326.49703124999996,106600.31141506344,34804685.2073437,11363626393.788506
323.78484375,104836.62504221192,33944510.25856992,10990717950.241333
325.35218749999996,105854.04591103512,34439845.3928807,11205079035.735533
335.69859375000004,112693.54584572755,37831064.865111895,12699835275.283098
341.11609375000006,116360.18941525884,39692333.2813432,13539693680.754915
334.906875,112162.61492226564,37564030.85544436,12580452186.200447
330.57421875,109279.31410217284,36124923.88486164,11941968490.641352
332.38390625000005,110479.06113400882,36721461.898554415,12205622949.05206
331.02453125000005,109577.24028928226,36272754.60242828,12007171589.415102
329.43406250000004,108526.80153525392,35752425.119889945,11778066651.472395
334.89718750000003,112156.12619541018,37560771.22373795,12578996643.160774
331.93890625,110183.43748244632,36574169.72478849,12140389895.448154
321.3921875,103292.93818603514,33197543.35691211,10669431079.104076
320.92468750000006,102992.6550469727,33052885.63574501,10607486993.624708
329.6670312499999,108680.35149318843,35828328.83196593,11811418800.682985
335.1379687499999,112317.45809787592,37641844.76208536,12615211393.568113
337.8735937499999,114158.56535353998,38571164.73334478,13032178043.578457
335.58984374999994,112620.54322814937,37794310.50497476,12683386757.003462
341.84718749999996,116859.49960166014,39948091.27148488,13656142647.150404
344.58062499999994,118735.80712539061,40914058.629146546,14098191893.717958
0.0,0.0,0.0,0.0
343.64062500000006,118088.87915039065,40580136.23678972,13944983378.99557
342.25624999999997,117139.34066406247,40091671.46315453,13721625131.21128
341.32875,116505.31557656251,39766613.73410361,13573488557.59442
344.1146875000001,118414.91815322272,40748312.55563433,14022092841.234436
344.33734375,118568.20630080566,40827461.210821435,14058419545.390411
342.9479687499999,117613.30926975093,40335245.512026615,13832890517.38208
340.17796875,115721.05042287597,39365751.87447028,13391361510.973803
337.87390625000006,114158.77652463384,38571271.75709884,13032226257.60129
333.534375,111245.17930664061,37104091.35180331,12375489918.966621
336.49890625,113231.5139074463,38102280.582887344,12821375741.772203
342.72687499999995,117461.7108472656,40257285.090836935,13797253515.166632
0.0,0.0,0.0,0.0
345.03156250000006,119046.77912119144,41074896.21077707,14172135619.129744
0.0,0.0,0.0,0.0
342.25531249999995,117138.69893447262,40091342.00966134,13721474788.061018
346.90218749999997,120341.12769228514,41746600.44267054,14481987014.250877
346.4259375000001,120010.93017275396,41574898.995343335,14402623360.929626
340.17734375,115720.62520080565,39365534.897899374,13391263096.865335
337.42328125000006,113854.47072951663,38417149.09853559,12962840505.09836
336.27093749999995,113078.14340712887,38024893.294274665,12786666516.403204
337.41359375,113847.93324729006,38413840.297978245,12961351904.67941
337.18343749999997,113692.67052431639,38335285.465943925,12926023330.95076
333.07906249999996,110941.6618758789,36952344.72980973,12308052339.781841
333.9815625000001,111543.68408994147,37253533.89936505,12441993460.35666
335.81031250000007,112768.5659813477,37868847.38237325,12716749473.48957
332.38546875000003,110480.09983615726,36721979.77158794,12205852459.807276
330.3315624999999,109118.94118369136,36045430.33955436,11906943325.049894
329.42343750000003,108519.80117431642,35748965.939659856,11776547246.913168
331.01390625,109570.20613088379,36269261.94000154,12005630071.564362
330.12015624999987,108979.31756252433,35976269.34175889,11876491656.393524
337.6540624999999,114010.26592275384,38496029.45552313,12998340735.777046
