magnitudeTimesScarcity_by_prior_holidays_pow_2,magnitudeTimesScarcity_by_prior_holidays_pow_3,magnitudeTimesScarcity_by_prior_holidays_pow_4,magnitudeTimesScarcity_by_prior_holidays_pow_5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2535.3562499999994,127661.07225068807,6428031.31441406,323666297.4124835
2566.7506249999997,130039.56698034375,6588208.77093789,333779139.82152665
2554.0556249999995,129076.00861242562,6523200.135594139,329667305.84911406
2551.550625,128886.15990425713,6510410.591937889,328859561.8575572
2562.9162499999998,129748.2837939265,6568539.704514062,332533984.94506586
2557.86375,129364.7968128234,6542666.9635640625,330897524.2936365
2537.6662500000007,127835.58277832567,6439749.996389065,324404043.96563834
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2248.1356249999994,106594.24590704966,5054113.788394138,239638321.6436487
2234.9474999999993,105657.66013660819,4994990.3277562475,236139323.3781621
2242.0387499999993,106160.91953334126,5026737.75650156,238016895.329383
2234.95625,105658.28062462714,4995029.4394140635,236141634.6462643
2219.608125,104571.76995938955,4926660.228566016,232108350.24749196
2203.165625,103411.9482773733,4853938.77118164,227833649.6589868
2190.26,102504.63600320513,4797238.8676,224511804.05238008
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2180.9312499999996,101850.45257616343,4756461.11722656,222128834.84999776
2189.090625,102422.5564613658,4792117.764462889,224212258.13810903
2187.9075000000003,102339.53410194145,4786939.228556251,223909434.20814347
2218.4887499999995,104492.67473687518,4921692.333876561,231815823.36116678
2251.5487499999995,106837.08548565504,5069471.773626561,240548906.27886972
2256.2775,107173.8343809704,5090788.157006252,241813911.10250998
2257.451875,107257.5199967129,5096088.967941018,242128689.62442958
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
9030.412499999999,858146.3968772184,81548349.92015621,7749415949.189992
9006.135,854688.1428117425,81110467.63822499,7697436797.061831
8888.0525,837934.2009377424,78997477.24275625,7447603169.480204
8807.91,826626.4594680923,77579278.5681,7280851458.6136055
8840.7225,831249.961462846,78158374.32200626,7348850237.428716
8925.677500000002,843260.5560993684,79667718.83400626,7526671772.213621
8972.8625,849956.1468100704,80512261.44390622,7626539636.356574
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2459.133125,121947.54447287525,6047335.726472266,299885246.1256582
2485.02875,123878.83896904386,6175367.888326563,307842476.35469437
2492.5275,124439.98149578176,6212693.33825625,310170075.9777272
2471.403125,122861.37947788871,6107833.406259764,303639997.183465
2441.6406250000005,120648.69076080708,5961608.9416503925,294580744.7146487
2452.75875,121473.69735987092,6016025.485701563,297945674.0942753
2441.6168749999997,120646.93042838453,5961492.9642847655,294573581.2508946
616.2859374999999,15299.364340270073,379808.3567602539,9428783.09559741
618.7765625,15392.203029147193,382884.4342993163,9524334.479677787
615.3589062499999,15264.856850187634,378666.5835011962,9393365.615394281
618.4632812499999,15380.51509888185,382496.8302545165,9512283.835369635
619.3928125,15415.202784580293,383647.45617666014,9548065.807999019
604.9626562499999,14879.654609324274,365979.8154570556,9001635.376539368
590.49375,14349.043687717014,348682.86878906254,8473020.616073849
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2222.030625,104743.01249830228,4937420.09843789,232742181.52598542
2199.63,103163.11600319829,4838372.136899999,226920684.85411504
2201.9612500000003,103327.16363306536,4848633.346501563,227522410.39241916
2169.3374999999996,101039.38300602844,4706025.188906249,219188522.5318402
2125.275,97976.67578436805,4516793.8256250005,208227379.6276228
2088.57375,95449.73412005484,4362140.3091890635,199353809.1276259
2077.10875,94664.87218619612,4314380.759326562,196629234.3355796
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1889.2356249999998,82116.26538358234,3569211.24676914,155136973.95461804
1833.0331250000004,78479.36309631518,3360010.437347267,143855272.18444833
1822.2368749999998,77787.04008478385,3320547.2286097654,141746412.83959624
1831.8525000000002,78403.55450136903,3355683.581756251,143623747.32221913
1822.269375,77789.12111780675,3320665.6750628906,141752733.121145
1794.609375,76024.73206844804,3220622.8088378906,136434696.9019
1769.300625,74422.19011223226,3130424.7016253904,131675227.47944136
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
