magnitudeScarcityProductByDojiTrend_exp_inv_1,magnitudeScarcityProductByDoji_exp_inv_1,magnitudeScarcityProductByDojiTrend_exp_inv_2,magnitudeScarcityProductByDoji_exp_inv_2,magnitudeScarcityProductByDojiTrend_exp_inv_3,magnitudeScarcityProductByDoji_exp_inv_3,magnitudeScarcityProductByDojiTrend_exp_inv_4,magnitudeScarcityProductByDoji_exp_inv_4,magnitudeScarcityProductByDojiTrend_exp_inv_5,magnitudeScarcityProductByDoji_exp_inv_5,magnitudeScarcityProductByDojiTrend_exp_inv_6,magnitudeScarcityProductByDojiTrend_exp_inv_7,magnitudeScarcityProductByDojiTrend_exp_inv_8,magnitudeScarcityProductByDojiTrend_exp_inv_9,magnitudeScarcityProductByDojiTrend_exp_inv_10,magnitudeScarcityProductByDojiTrend_exp_inv_11,magnitudeScarcityProductByDojiTrend_exp_inv_12,magnitudeScarcityProductByDojiTrend_exp_inv_13
0.08128547158033034,0.08128547158033034,0.0066073278900366916,0.0066073278900366916,0.0005370797634275015,0.0005370797634275015,4.365678184645672e-05,4.365678184645672e-05,3.5486621000688428e-06,3.5486621000688428e-06,2.88454672283341e-07,2.3447174066101e-08,1.905914601189113e-09,1.5492316714949443e-10,1.2593002700465008e-11,1.023628163119669e-12,8.320609796208968e-14,6.763446911207629e-15
0.08138827536682218,0.08138827536682218,0.006624051367185675,0.006624051367185675,0.0005391201167164826,0.0005391201167164826,4.38780565151144e-05,4.38780565151144e-05,3.5711593462131172e-06,3.5711593462131172e-06,2.9065050024839383e-07,2.36555429497209e-08,1.9252838435435734e-09,1.5669553161761815e-10,1.2753179076045298e-11,1.0379592504435697e-12,8.447771329464159e-14,6.87549539198377e-15
0.0814902405404009,0.0814902405404009,0.006640659303332397,0.006640659303332397,0.0005411489239754078,0.0005411489239754078,4.4098355982935116e-05,4.4098355982935116e-05,3.593585636485611e-06,3.593585636485611e-06,2.928421579197417e-07,2.3863777889249823e-08,1.9446650003976693e-09,1.5847121865290494e-10,1.2913857726755693e-11,1.0523533724578365e-12,8.575652945509092e-14,6.988320213205362e-15
0.08257156948614164,0.08257156948614164,0.0068180640874047176,0.0068180640874047176,0.0005629782525541055,0.0005629782525541055,4.648599789995792e-05,4.648599789995792e-05,3.838421805729006e-06,3.838421805729006e-06,3.169445128488742e-07,2.6170605865952152e-08,2.1609480007548923e-09,1.784328680002713e-10,1.4733481958695926e-11,1.2165667293252782e-12,1.0045382422501019e-13,8.29462992714408e-15
0.08302376099743677,0.08302376099743677,0.006892944890159505,0.006892944890159505,0.0005722782091291061,0.0005722782091291061,4.7512689258776026e-05,4.7512689258776026e-05,3.9446821573661e-06,3.9446821573661e-06,3.2750234864401687e-07,2.719047671992006e-08,2.2574556406010106e-09,1.8742245756757378e-10,1.5560517322642474e-11,1.2918926711915431e-12,1.0725778836734718e-13,8.904944986524283e-15
0.08429138970708389,0.08429138970708389,0.007105038378751486,0.007105038378751486,0.000598893558867129,0.000598893558867129,5.0481570363531544e-05,5.0481570363531544e-05,4.255161720538014e-06,4.255161720538014e-06,3.5867349485253526e-07,3.023308733221679e-08,2.5483889463681864e-09,2.148072458035457e-10,1.810640126793203e-11,1.5262137254680963e-12,1.2864667590973162e-13,1.084380709362807e-14
0.08241016638596269,0.08241016638596269,0.006791435523762055,0.006791435523762055,0.0005596833315127684,0.0005596833315127684,4.612359647341717e-05,4.612359647341717e-05,3.8010532596933124e-06,3.8010532596933124e-06,3.132454315732313e-07,2.581460813559274e-08,2.127386151642621e-09,1.75318246724061e-10,1.4448005883025157e-11,1.1906625687654694e-12,9.812270040149994e-14,8.086308066327568e-15
0.08118513346245695,0.08118513346245695,0.006591025895316948,0.006591025895316948,0.0005350933169658162,0.0005350933169658162,4.3441622352738564e-05,4.3441622352738564e-05,3.5268139085327336e-06,3.5268139085327336e-06,2.8632485786147944e-07,2.3245321799103224e-08,1.887174552637955e-09,1.5321051792286487e-10,1.2438416345419938e-11,1.0098144910645237e-12,8.19819242293964e-14,6.655713460072603e-15
0.08027448936166105,0.08027448936166105,0.006443993642275433,0.006443993642275433,0.0005172882990834507,0.0005172882990834507,4.15250540616862e-05,4.15250540616862e-05,3.3334025105172315e-06,3.3334025105172315e-06,2.6758718436864947e-07,2.1480424584917967e-08,1.7243301148259612e-09,1.3841971945858852e-10,1.111157229712258e-11,8.919757921566918e-13,7.160290123834161e-14,5.747886333721325e-15
0.07936899626420624,0.07936899626420624,0.006299437567987583,0.006299437567987583,0.0004999800368002069,0.0004999800368002069,3.9682913672973316e-05,3.9682913672973316e-05,3.149593027063035e-06,3.149593027063035e-06,2.4998003719873626e-07,1.9840664638552653e-08,1.5747336375766527e-09,1.2498502819794114e-10,9.919936236124092e-12,7.873353820660992e-13,6.249001899788156e-14,4.959770084393052e-15
0.08169066249595792,0.08169066249595792,0.006673364339028507,0.006673364339028507,0.0005451515539321391,0.0005451515539321391,4.453379160141738e-05,4.453379160141738e-05,3.6379949393767125e-06,3.6379949393767125e-06,2.971902167546259e-07,2.4277665694002727e-08,1.9832585943984727e-09,1.6201370847721356e-10,1.323500717893057e-11,1.0811765045855973e-12,8.832202493466155e-14,7.215084729897015e-15
0.08267218000541414,0.08267218000541414,0.006834689346847597,0.006834689346847597,0.0005650386679636707,0.0005650386679636707,4.671297846791203e-05,4.671297846791203e-05,3.86186376448826e-06,3.86186376448826e-06,3.1926869629415925e-07,2.6394639130124646e-08,2.182102357343613e-09,1.8039915887654979e-10,1.4913991735467434e-11,1.2329722093538232e-12,1.0193250043337212e-13,8.426982024229728e-15
0.0826745230390066,0.0826745230390066,0.006835076759727233,0.006835076759727233,0.0005650867110454478,0.0005650867110454478,4.671827431136334e-05,4.671827431136334e-05,3.862411045897442e-06,3.862411045897442e-06,3.193229910001614e-07,2.6399875976327317e-08,2.1825971546317914e-09,1.8044517874547647e-10,1.491821908747057e-11,1.2333566476480307e-12,1.0196717258128914e-13,8.430087358794158e-15
0.0834020529190521,0.0834020529190521,0.006955902431112367,0.006955902431112367,0.0005801365426593968,0.0005801365426593968,4.838457863115494e-05,4.838457863115494e-05,4.035373187461622e-06,4.035373187461622e-06,3.365584081287981e-07,2.806966216510996e-08,2.3410674493144154e-09,1.952498312947912e-10,1.628423676208417e-11,1.3581387761777176e-12,1.1327156208219066e-13,9.447080815002562e-15
0.08424312317019088,0.08424312317019088,0.007096903801467951,0.007096903801467951,0.0005978653410740608,0.0005978653410740608,5.0366043567290257e-05,5.0366043567290257e-05,4.242992811834431e-06,4.242992811834431e-06,3.5744296605760297e-07,3.011211181590899e-08,2.5367383446221803e-09,2.1370276081655234e-10,1.8002988001278652e-11,1.5166279356231853e-12,1.2776547398405672e-13,1.0763362561736703e-14
