redCandlesBySizeTimesMagnitude,greenCandlesBySizeTimesMagnitude,redCandlesBySizeTimesMagnitude_pow_2,greenCandlesBySizeTimesMagnitude_pow_2,redCandlesBySizeTimesMagnitude_pow_3,greenCandlesBySizeTimesMagnitude_pow_3,redCandlesBySizeTimesMagnitude_pow_4,greenCandlesBySizeTimesMagnitude_pow_4,redCandlesBySizeTimesMagnitude_pow_5,greenCandlesBySizeTimesMagnitude_pow_5,redCandlesBySizeTimesMagnitude_pow_6,greenCandlesBySizeTimesMagnitude_pow_6,redCandlesBySizeTimesMagnitude_pow_7,greenCandlesBySizeTimesMagnitude_pow_7,redCandlesBySizeTimesMagnitude_pow_8,greenCandlesBySizeTimesMagnitude_pow_8,redCandlesBySizeTimesMagnitude_pow_9,greenCandlesBySizeTimesMagnitude_pow_9,redCandlesBySizeTimesMagnitude_pow_10,greenCandlesBySizeTimesMagnitude_pow_10,redCandlesBySizeTimesMagnitude_pow_11,greenCandlesBySizeTimesMagnitude_pow_11,redCandlesBySizeTimesMagnitude_pow_12,greenCandlesBySizeTimesMagnitude_pow_12,redCandlesBySizeTimesMagnitude_pow_13,greenCandlesBySizeTimesMagnitude_pow_13,redCandlesBySizeTimesMagnitude_pow_14,greenCandlesBySizeTimesMagnitude_pow_14,redCandlesBySizeTimesMagnitude_pow_15,greenCandlesBySizeTimesMagnitude_pow_15,redCandlesBySizeTimesMagnitude_pow_16,greenCandlesBySizeTimesMagnitude_pow_16,redCandlesBySizeTimesMagnitude_pow_17,redCandlesBySizeTimesMagnitude_pow_18
-100.15163503408219,0.0,10030.349999999999,0.0,-1004555.9524641063,0.0,100607921.12249999,0.0,-10076047797.798347,0.0,1009132661631.0676,0.0,-101066286028646.64,0.0,1.0121953792591178e+16,0.0,-1.0137302220674358e+18,0.0,1.0152673922351692e+20,0.0,-1.0168068932914104e+22,0.0,1.0183487287706028e+24,0.0,-1.0198929022125496e+26,0.0,1.0214394171624215e+28,0.0,-1.0229882771707647e+30,0.0,1.0245394857935094e+32,0.0,-1.0260930465919778e+34,1.0276489631328926e+36
-0.0,75.07589909551534,0.0,5636.390625000001,-0.0,423157.0938254087,0.0,31768899.2775879,-0.0,2385078676.5397797,0.0,179061926054.76575,-0.0,13443235092336.223,0.0,1009262961309525.1,-0.0,7.577132424411491e+16,0.0,5.688600293284746e+18,-0.0,4.2707678161336454e+20,0.0,3.2063173362442396e+22,-0.0,2.4071715680407408e+24,0.0,1.807205697478201e+26,-0.0,1.3567759258871383e+28,0.0,1.018611725071272e+30,-0.0,0.0
-100.05123687391375,0.0,10010.249999999998,0.0,-1001537.893917095,0.0,100205105.06249997,0.0,-10025644702.5836,0.0,1003078152951.8903,0.0,-100359209884037.45,0.0,1.0041063080586658e+16,0.0,-1.0046207807416859e+18,0.0,1.0051355170244257e+20,0.0,-1.0056505170419459e+22,0.0,1.0061657809293757e+24,0.0,-1.0066813088219139e+26,0.0,1.0071971008548283e+28,0.0,-1.0077131571634561e+30,0.0,1.0082294778832043e+32,0.0,-1.0087460631495485e+34,1.0092629130980344e+36
-49.76260518702774,0.0,2476.316875,0.0,-123227.97896859932,0.0,6132145.265409765,0.0,-305151523.79208755,0.0,15185134800.685555,0.0,-755651867798.3104,0.0,37603205556087.4,0.0,-1871233471854225.2,0.0,9.3117452472633e+16,0.0,-4.633767023417456e+18,0.0,2.3058831891499152e+20,0.0,-1.1474675474907164e+22,0.0,5.710097453070752e+23,0.0,-2.841493251366125e+25,0.0,1.4140010680933623e+27,0.0,-7.036437688556552e+28,3.501514706187617e+30
-124.13409458122294,0.0,15409.273437500002,0.0,-1912816.2063185517,0.0,237445707.87164313,0.0,-29475107958.843983,0.0,3658865839154.896,0.0,-454189998137659.5,0.0,5.638046418666569e+16,0.0,-6.998737873880812e+18,0.0,8.687819891855078e+20,0.0,-1.0784546561601683e+23,0.0,1.338729922893466e+25,0.0,-1.661820268671708e+27,0.0,2.062885544082871e+29,0.0,-2.560744292394207e+31,0.0,3.1787567419038927e+33,0.0,-3.9459209005019786e+35,4.89823318272937e+37
-0.0,123.37826110178405,0.0,15222.195312499998,-0.0,1878087.987807978,0.0,231715230.13189694,-0.0,28588622164.47316,0.0,3527214489948.62,-0.0,435181590302876.9,0.0,5.369194787507796e+16,-0.0,6.624419163994747e+18,0.0,8.17309317263006e+20,-0.0,1.00838202346196e+23,0.0,1.2441242058103504e+25,-0.0,1.5349788110751912e+27,0.0,1.8938301653854097e+29,-0.0,2.3365747262735595e+31,0.0,2.882825266620088e+33,-0.0,0.0
-0.0,124.50411012291923,0.0,15501.273437499998,-0.0,1929972.2551079825,0.0,240289478.184143,-0.0,29917027653.21734,0.0,3724792905486.592,-0.0,463752026089770.9,0.0,5.773903332600774e+16,-0.0,7.188746963612171e+18,0.0,8.95028543603371e+20,-0.0,1.1143473235595012e+23,0.0,1.3874082188763244e+25,-0.0,1.7273802566842113e+27,0.0,2.1506594170236754e+29,-0.0,2.6776593689400894e+31,0.0,3.333795969421833e+33,-0.0,0.0
-0.0,100.20092314944009,0.0,10040.224999999999,-0.0,1006039.8136280869,0.0,100806118.05062497,-0.0,10100866087.784058,0.0,1012116106604.8358,-0.0,101414968216221.67,0.0,1.0161873436436536e+16,-0.0,1.018229099258714e+18,0.0,1.02027495723346e+20,-0.0,1.022324925810482e+22,0.0,1.0243790132489315e+24,-0.0,1.0264372278245545e+26,0.0,1.028499577829725e+28,-0.0,1.0305660715734786e+30,0.0,1.032636717381545e+32,-0.0,0.0
-0.0,50.325527816407444,0.0,2532.6587499999996,-0.0,127457.38837259267,0.0,6414360.34395156,-0.0,322806069.913995,0.0,16245385850.761923,-0.0,817557617520.791,0.0,41144018622058.37,-0.0,2070594453643184.2,0.0,1.0420375877331904e+17,-0.0,5.244109160720879e+18,0.0,2.6391256144013568e+20,-0.0,1.3281538951854888e+22,0.0,6.68400457966272e+23,-0.0,3.36376058398811e+25,0.0,1.6928302683722856e+27,-0.0,0.0
-25.27593346446378,0.0,638.8728125,0.0,-16148.106701004843,0.0,408158.4705516601,0.0,-10316586.34462106,0.0,260761350.0270375,0.0,-6590986533.387151,0.0,166593337083.0704,0.0,-4210802103734.674,0.0,106431953806021.72,0.0,-2690166982893887.5,0.0,6.7996481667923176e+16,0.0,-1.7186745464560573e+18,0.0,4.344110348329077e+19,0.0,-1.0980144412665432e+21,0.0,2.775333996047352e+22,0.0,-7.014915742575724e+23,1.7730854356816355e+25
