,open,high,low,close,week_days,week_days_exp_1,week_days_exp_inv_1,week_days_pow_1,week_days_exp_2,week_days_exp_inv_2,week_days_pow_2,week_days_exp_3,week_days_exp_inv_3,week_days_pow_3,week_days_exp_4,week_days_exp_inv_4,week_days_pow_4,week_days_exp_5,week_days_exp_inv_5,week_days_pow_5,week_days_exp_6,week_days_exp_inv_6,week_days_pow_6,week_days_exp_7,week_days_exp_inv_7,week_days_pow_7,week_days_exp_8,week_days_exp_inv_8,week_days_pow_8,week_days_exp_9,week_days_exp_inv_9,week_days_pow_9,week_days_exp_10,week_days_exp_inv_10,week_days_pow_10,week_days_exp_11,week_days_exp_inv_11,week_days_pow_11,week_days_exp_12,week_days_exp_inv_12,week_days_pow_12,week_days_exp_13,week_days_exp_inv_13,week_days_pow_13,week_days_exp_14,week_days_exp_inv_14,week_days_pow_14,week_days_exp_15,week_days_exp_inv_15,week_days_pow_15,week_days_exp_16,week_days_exp_inv_16,week_days_pow_16,week_days_exp_17,week_days_exp_inv_17,week_days_pow_17,week_days_exp_18,week_days_exp_inv_18,week_days_pow_18,week_days_exp_19,week_days_exp_inv_19,week_days_pow_19
week_days_exp_3,0.009564638709185665,0.009407985206362763,0.009626109233658078,0.009247801760856718,0.09537943122138606,0.39880515134789707,-0.03986388211827735,0.09537943122138606,0.9480706835888673,-0.028620954669610506,0.13134257242077446,1.0,-0.02556341100054218,0.1757773758297854,0.9979057712989692,-0.024558126576402457,0.232080780099561,0.9966354605826817,-0.02420272172390569,0.304052944524585,0.9961525172793536,-0.024073830781239158,0.39438217880545073,0.9959737001959554,-0.02402666057425348,0.5022982752196724,0.995907778329471,-0.024009340684069996,0.6206806271804155,0.9958835085431325,-0.02400297351413794,0.7356404457750042,0.9958745776897396,-0.024000631766409646,0.832071512120024,0.9958712918742157,-0.023999770367166058,0.9019081464628227,0.9958700830445032,-0.023999453487136474,0.9465654668935298,0.9958696383348628,-0.02399933691497933,0.9725891806231499,0.9958694747341921,-0.023999294030683165,0.9867779952789878,0.995869414549032,-0.02399927825446066,0.9941108323587764,0.9958693924079898,-0.0239992724507142,0.9976831027438723,0.9958693842628339,-0.023999270315637776,0.9992622599560682,0.9958693812662266,-0.023999269530186704,0.9998127715963293,0.9958693801639396,-0.023999269241236455,0.9998481488278298
week_days_exp_inv_3,-0.005655106136105457,-0.0052734692173189365,-0.006123762185600023,-0.005342725281933768,-0.7319769326838902,-0.4012952938983232,0.9562642109395043,-0.7319769326838902,-0.12037210660072585,0.9966572990239712,-0.6025492859777654,-0.02556341100054218,1.0,-0.5037292850435898,-0.01238483266760638,0.9995400498975824,-0.4340225887013548,-0.010481388124854111,0.9991381337943165,-0.3831059693993694,-0.010163253381937779,0.9989586001917818,-0.3419335642166342,-0.010097053923878102,0.9988882574630561,-0.3039247523901242,-0.010079536367532177,0.998861797970278,-0.2648018916058275,-0.010074014955791149,0.9988519853000853,-0.22319448411674317,-0.010072108538436543,0.9988483647592203,-0.18100352686484616,-0.01007142409060625,0.9988470313939457,-0.14189555914161633,-0.010071174581039146,0.9988465406809816,-0.10878059358866585,-0.010071083100788818,0.9988463601312961,-0.08261403787796551,-0.010071049488927914,0.9988462937072619,-0.06284219989641149,-0.010071037129479444,0.998846269270793,-0.04828345352311881,-0.010071032583457621,0.9988462602808688,-0.03770874253239022,-0.0100710309111762,0.9988462569738576,-0.030077536758254753,-0.010071030295988916,0.9988462557571661,-0.02458402903218592,-0.010071030069676372,0.9988462553095747,-0.020630221135802502
week_days_pow_3,0.015375855148711563,0.014971340147971255,0.015176648188079732,0.014809028046788934,0.9400609337362109,0.9597562046306293,-0.6879647332775181,0.9400609337362109,0.4486646864479113,-0.5515704074100284,0.9882304934687483,0.1757773758297854,-0.5037292850435898,1.0,0.13193779481941295,-0.4868590191739537,0.9923010112969469,0.12480034507819246,-0.4807624486911185,0.9726982312531591,0.12339267226797643,-0.4785347896203335,0.9415021308044276,0.1230392094318395,-0.477717339565127,0.8946416356221615,0.12293139572014725,-0.4774168957060025,0.8270287884880225,0.12289473853455295,-0.4773064063938463,0.7377361898209163,0.12288165974482858,-0.4772657647649789,0.6341037446777825,0.12287690335490219,-0.4772508142379191,0.5293630882190239,0.1228751610238352,-0.47724531434009826,0.43532552771504995,0.12287452106389395,-0.47724329105341035,0.35783289607139707,0.12287428577217291,-0.4772425467295703,0.29738885011920246,0.1228741992316658,-0.47724227290843574,0.2517453279295867,0.12287416739767885,-0.47724217217524395,0.21788968806162146,0.12287415568695322,-0.47724213511757013,0.19300693033443922,0.12287415137884254,-0.4772421214848215,0.174792246985745,0.122874149794046,-0.47724211646957604,0.161470852932065
week_days_exp_4,0.006914196699861933,0.006770768943036934,0.007054760795724337,0.006645057065582859,0.060341527572904625,0.3526576018821427,-0.019790980472646887,0.060341527572904625,0.9275926923503236,-0.013878557507995232,0.09108358827359112,0.9979057712989692,-0.01238483266760638,0.13193779481941295,1.0,-0.011897237932492396,0.1859134780859583,0.9998270262338073,-0.011724987266922351,0.25657637727558796,0.9996864670354192,-0.011662527289199367,0.3466512175193396,0.9996252637780974,-0.011639669634856232,0.4556316479579241,0.999601478465715,-0.011631276891675828,0.5767318278231144,0.9995925566599031,-0.011628191548683007,0.6961543728886437,0.9995892512756842,-0.011627056808408006,0.7983585945620579,0.9995880321480617,-0.0116266394005579,0.8744307343389125,0.9995875832302528,-0.011626485850174093,0.9249754354644066,0.9995874180250021,-0.011626429362873083,0.9560780558782229,0.9995873572415975,-0.011626408582455264,0.9744177776863384,0.9995873348797503,-0.011626400937778343,0.9850467092916889,0.9995873266530307,-0.01162639812546276,0.9912024325351615,0.9995873236265291,-0.011626397090869931,0.9947989519020558,0.9995873225130586,-0.011626396710263954,0.9969272512687333,0.9995873221035636,-0.011626396570245499,0.9982022026434753
week_days_exp_inv_4,-0.005383842308287398,-0.005016173550628321,-0.005861054796147336,-0.005080694575422418,-0.7153840286154263,-0.38706876657096684,0.9473511040738887,-0.7153840286154263,-0.11568736382976179,0.9937355487873888,-0.5850908677315247,-0.024558126576402457,0.9995400498975824,-0.4868590191739537,-0.011897237932492396,1.0,-0.418302536986439,-0.010068674824789795,0.9999373201354584,-0.3686617679047194,-0.00976306004567698,0.9998826409927957,-0.3287794726185902,-0.009699466394745409,0.9998582345540747,-0.29211354750683666,-0.009682638490747224,0.9998486746051373,-0.25445687873481987,-0.009677334471941105,0.9998450789943155,-0.21445019891863873,-0.00967550311839271,0.9998437455903046,-0.17390077435524784,-0.00967484562062956,0.9998432536166002,-0.13632206165175054,-0.009674605935536052,0.9998430724345005,-0.10450519361984134,-0.009674518057341291,0.9998430057549137,-0.07936572319547487,-0.009674485768958272,0.9998429812212807,-0.060370574065885856,-0.009674473896165834,0.9998429721954706,-0.04638401601965414,-0.009674469529144756,0.9998429688748594,-0.03622504999007824,-0.009674467922708381,0.9998429676533331,-0.028893934252881726,-0.009674467331744927,0.9998429672038923,-0.023616489440048766,-0.009674467114346188,0.9998429670386428,-0.019818206339352454
week_days_pow_4,0.01648287956031971,0.016120810105743347,0.01622630180934322,0.015910292804461688,0.8949471723208866,0.9824341082678507,-0.6147134978233514,0.8949471723208866,0.5100164676085477,-0.4793839541455443,0.9625372750841211,0.232080780099561,-0.4340225887013548,0.9923010112969469,0.1859134780859583,-0.418302536986439,1.0,0.17813960942673143,-0.41265749884114655,0.993626017991398,0.176536323667857,-0.4105995764704183,0.9741034807761082,0.17611644111076658,-0.4098450488069928,0.9376178384964364,0.17598495756266427,-0.40956781716680646,0.8788107354504961,0.17593969690004593,-0.40946587583549904,0.7961274337973738,0.17592346719950155,-0.4094283800066839,0.6964625049933064,0.17591755356841776,-0.409414586913582,0.5932495969597249,0.1759153857712799,-0.40940951283339466,0.4990359941687532,0.17591458932615925,-0.4094076461991844,0.42047201205288753,0.1759142964715153,-0.40940695950498485,0.35864370040421834,0.17591418875543946,-0.4094067068845633,0.3116250590208454,0.1759141491314736,-0.40940661395075423,0.2765443062540079,0.1759141345549954,-0.4094065797623409,0.2506274851115993,0.1759141291926307,-0.4094065671851235,0.23156418046828103,0.17591412721997549,-0.4094065625582348,0.21755609907323403
week_days_exp_5,0.005992107286495975,0.005851959450560979,0.006161348013048551,0.005737520697871477,0.054961083646170764,0.34436571108701247,-0.016868807534168806,0.054961083646170764,0.9225963039832569,-0.011748000133071812,0.08472741102352666,0.9966354605826817,-0.010481388124854111,0.12480034507819246,0.9998270262338073,-0.010068674824789795,0.17813960942673143,1.0,-0.00992289582050938,0.24828160016786635,0.9999785867819644,-0.009870035395914566,0.33796803355981647,0.9999601053139355,-0.009850690802139692,0.44675810451186454,0.9999518858168767,-0.009843587968228939,0.5679611568092789,0.9999486699421333,-0.00984097682254937,0.6878473016898992,0.999947460888654,-0.009840016484589143,0.7908453706812559,0.999947012583949,-0.009839663229662418,0.8679082232487592,0.9999468471857005,-0.009839533278992766,0.9194810770824767,0.9999467862744442,-0.00983948547342974,0.9515368348026436,0.9999467638577234,-0.009839467886828396,0.9707043418260743,0.9999467556099979,-0.009839461417092051,0.9820276589105826,0.9999467525757455,-0.009839459037008844,0.9887563602249181,0.9999467514592323,-0.009839458161427391,0.9928227934678071,0.9999467510486111,-0.009839457839318536,0.9953362735276532,0.999946750897607,-0.009839457720820002,0.9969276823200486
week_days_exp_inv_5,-0.005285370589335575,-0.004922948877893706,-0.005765435865922547,-0.004985546930293859,-0.7092630389935882,-0.3819669645359424,0.9438809041808734,-0.7092630389935882,-0.11402601526872506,0.9924307695833868,-0.5787273412829737,-0.02420272172390569,0.9991381337943165,-0.4807624486911185,-0.011724987266922351,0.9999373201354584,-0.41265749884114655,-0.00992289582050938,1.0,-0.3634989711570674,-0.009621705705107078,0.9999914941716244,-0.32409356340156303,-0.009559032776193499,0.9999840805367433,-0.28791600119993666,-0.009542448512537365,0.9999807727338058,-0.25078648232958295,-0.009537221287582673,0.9999794772702512,-0.21135129643418465,-0.009535416449211997,0.9999789900581524,-0.17138562219926873,-0.009534768471011798,0.9999788093831713,-0.13434953691595913,-0.009534532256194222,0.9999787427216204,-0.10299268652904628,-0.009534445650341818,0.9999787181718852,-0.07821690687654537,-0.009534413829442204,0.9999787091370435,-0.05949664256040021,-0.009534402128552591,0.9999787058127312,-0.045712522251848756,-0.009534397824758388,0.9999787045896925,-0.03570060883724489,-0.00953439624158018,0.9999787041398848,-0.02847561859198549,-0.009534395659174627,0.9999787039744121,-0.023274573264541402,-0.009534395444922647,0.9999787039133687,-0.01953127786459209
week_days_pow_5,0.01771211690578197,0.017381774432932928,0.01741552324189854,0.017131292607298718,0.8487315059907328,0.9940394429688435,-0.5557127612185552,0.8487315059907328,0.5792965429785468,-0.4253321943980593,0.9292078055563648,0.304052944524585,-0.3831059693993694,0.9726982312531591,0.25657637727558796,-0.3686617679047194,0.993626017991398,0.24828160016786635,-0.3634989711570674,1.0,0.2464900080899119,-0.36162000239847664,0.9930968595948093,0.24600161015848343,-0.36093150746660313,0.9692274412867928,0.24584503700336188,-0.3606785943935782,0.922607471502823,0.24579056267260005,-0.36058560292222824,0.8507017911990847,0.24577094568627803,-0.3605514000434118,0.7593858274163932,0.2457637862461475,-0.3605388184237861,0.6617158893949937,0.24576116018257363,-0.3605341900286112,0.5706343767037957,0.2457601951562531,-0.3605324873539831,0.49353636838707277,0.24575984028480333,-0.3605318609772389,0.4321892815425416,0.24575970975416472,-0.3605316305464654,0.3851364091001604,0.2457596617371648,-0.36053154577574903,0.34978358292471434,0.24575964407308093,-0.3605315145903558,0.32350638578413343,0.2457596375748248,-0.3605315031178393,0.3040692835419071,0.2457596351843172,-0.36053149889735947,0.2897084538756283
week_days_exp_6,0.005660519269632003,0.005521378212213327,0.005840257428800701,0.005410879637856451,0.053983320312284026,0.3425131292737846,-0.016376441338039508,0.053983320312284026,0.9211557963155105,-0.011391785755988275,0.08352602690288786,0.9961525172793536,-0.010163253381937779,0.12339267226797643,0.9996864670354192,-0.00976306004567698,0.176536323667857,0.9999785867819644,-0.009621705705107078,0.2464900080899119,1.0,-0.009570449747737582,0.3360021442414665,0.9999971347594744,-0.009551692320355796,0.4446516329735495,0.9999946412487916,-0.009544805078853334,0.5657785992091878,0.9999935292823159,-0.009542273189319191,0.6856818677261606,0.9999930938661791,-0.00954134200051486,0.7887960149983113,0.9999929301195727,-0.009540999467944558,0.8660490107440679,0.9999928693979834,-0.009540873461667322,0.9178467039382557,0.9999928469944446,-0.009540827107146998,0.9501289555882779,0.9999928387436815,-0.009540810054354202,0.9695057126480221,0.9999928357073474,-0.009540803780993076,0.981013623889819,0.9999928345902506,-0.009540801473152973,0.9879013542078169,0.999992834179245,-0.0095408006241473,0.99210323503172,0.999992834027653,-0.00954080031181502,0.994731514520594,0.9999928339723503,-0.009540800196914079,0.99642007461266
week_days_exp_inv_6,-0.0052493354916005016,-0.004888857710296762,-0.005730409318914076,-0.0049507242031024,-0.7070095716642183,-0.38010787427371895,0.9425787419027694,-0.7070095716642183,-0.11342297259791115,0.9919196196509517,-0.5763948216250655,-0.024073830781239158,0.9989586001917818,-0.4785347896203335,-0.011662527289199367,0.9998826409927957,-0.4105995764704183,-0.009870035395914566,0.9999914941716244,-0.36162000239847664,-0.009570449747737582,1.0,-0.3223901806410651,-0.009508110684445792,0.9999988476839031,-0.2863913963248176,-0.009491614767068458,0.9999978436898839,-0.2494540844575277,-0.009486415388150492,0.9999973958035465,-0.21022677232470566,-0.00948462016436411,0.9999972204047963,-0.1704731499457875,-0.009483975638022049,0.9999971544403734,-0.13363403868393256,-0.009483740681546653,0.9999971299787341,-0.10244410926253776,-0.009483654537054754,0.9999971209534234,-0.07780026731469711,-0.009483622885670225,0.9999971176296979,-0.05917971014891243,-0.009483611247111686,0.999997116406506,-0.045469012170397914,-0.009483606966243889,0.9999971159563513,-0.035510430271794714,-0.009483605391500234,0.9999971157908469,-0.02832392699473498,-0.009483604812194816,0.9999971157298049,-0.023150587585198727,-0.009483604599085545,0.9999971157075012,-0.01942723283343126
